,Category,Sub-category,Title,Organisation,Organisation Acronym,URL,Coverage,Resolution,Data Format,Last Update,Access to Dataset,Description,Contact,Data Update,Count
0,Background_Support,Admistration boundary,County boundaries,Central Statistics Office,CSO,https://www.cso.ie/en/census/census2016reports/census2016smallareapopulationstatistics/,National,,Shapefile,2021,Direct free download from website,,,,1
1,Background_Support,Admistration boundary,Coast of Ireland Oblique Imagery Survey 2003,Office of Public Works,OPW,https://www.floodinfo.ie/map/coastal_map/,National,,,2003,View data online. Contact the OPW to request access to the dataset,The Coast of Ireland Survey was flown in September 2003 using aerial oblique digital video photography as part of the Irish Coastal Protection Strategy Study.,,,1
2,Background_Support,Admistration boundary,"Irish internal waters (bays, estuaries, coastal waters around Irish coastline)",Marine Institute, ,https://atlas.marine.ie/,Irish Waters,,Shapefile,2021,View and download data from Ireland's Marine Atlas,,,,1
3,Background_Support,Admistration boundary,Irish National Grid (ING) - Grid shapefile,Ordnance Survey Ireland,OSi,www.osi.ie,National,,Shapefile,2013,Purchase from OSi,,,,1
4,Background_Support,Admistration boundary,Irish Transverse Mercator (ITM) - Grid shapefile,Ordnance Survey Ireland,OSi,www.osi.ie,National,,Shapefile,2013,Purchase from OSi,,,,1
5,Background_Support,Admistration boundary,Maritime Limits Irish Continental Shelf,Marine Institute,,https://www.isde.ie/geonetwork/srv/eng/catalog.search#/metadata/0691c2e4-a898-4f7e-b63a-8cdf5389ab2e,Irish Waters,,Shapefile,2017,Download data from Ireland's Marine Atlas,,,,1
6,Background_Support,Admistration boundary,Exclusive economic zone,Marine Institute, ,https://data.marine.ie/geonetwork/srv/eng/catalog.search#/metadata/ie.marine.data:dataset.2139,Irish Waters, ,Shapefile,2021,View and download data from Ireland's Marine Atlas,,,,1
7,Background_Support,Admistration boundary,NUTS (Nomenclature of Territorial Units for Statistics) III,Central Statistics Office,CSO,http://census.cso.ie/censusasp/saps/boundaries/Census2011_NUTS2_generalised20m.zip,National, ,Shapefile,2012,Direct free download from website,,,,1
8,Background_Support,Admistration boundary,NUTS (Nomenclature of Territorial Units for Statistics) II,Central Statistics Office,CSO,http://census.cso.ie/censusasp/saps/boundaries/Census2011_NUTS3_generalised20m.zip,National, ,Shapefile,2012,Direct free download from website,,,,1
9,Background_Support,Admistration boundary,Provinces,Central Statistics Office,CSO,http://census.cso.ie/censusasp/saps/boundaries/Census2011_Province_generalised20m.zip,National, ,Shapefile,2013,Direct free download from website,,,,1
10,Background_Support,Admistration boundary,Regional Assembly areas,Central Statistics Office,CSO,https://www.cso.ie/en/census/census2016reports/census2016boundaryfiles/,National, ,Shapefile,2016,View and dowload data from the CSO boundary files,,,,1
11,Background_Support,Admistration boundary,Settlements,Central Statistics Office,CSO,http://census.cso.ie/censusasp/saps/boundaries/Census2011_Settlements.zip ,National, ,Shapefile,2013,Direct free download from website,,,,1
12,Background_Support,Admistration boundary,Small areas,Central Statistics Office,CSO,http://census.cso.ie/censusasp/saps/boundaries/Census2011_Small_Areas_generalised20m.zip,National, ,Shapefile,2013,Direct free download from website,A baseline is the line from which the seaward limits of a State's territorial sea and certain other maritime zones of jurisdiction are measured. ,,,1
13,Background_Support,Admistration boundary,Straight baselines,Marine Institute, ,https://www.isde.ie/geonetwork/srv/eng/catalog.search#/metadata/a9d2337a-94ab-4c75-abf0-7380aca06781,Irish Waters, ,Shapefile,2016,View and download data from Ireland's Marine Atlas,,,,1
14,Background_Support,Climate,Tidal Observations,Marine Institute,,http://www.marine.ie/Home/site-area/data-services/real-time-observations/explanatory-notes?language=en,,Time Series,,Daily,https://www.digitalocean.ie/,Tide gauge data at ~ 15 min intervals,,,1
